,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
556,Mehetia has a length of 1.7 km.,An island has a length of x.,What island has a length of x?,What is the relation between a island and its length?,What length does an island have?,Mountain
557,Mehetia has a length of 1.7 km.,The island in French Polynesia has a length of 1.7km,Which one  has a length of 1.7km,What is the relation between The island in French Polynesia and a length of 1.7km,What length does the island in French polynesia has?,Mountain
558,The first ascent of Hintere Gubachspitze was a significant event.,A route of a mountain was a significant event.,What mountain has a route as a significant event?,What is the relation between a mountain and a route?,What route is a significant event of a mountain?,Mountain
559,The first ascent of Hintere Gubachspitze was a significant event.,"The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol was a significant event",What was a significant event of mountain in the Venediger Group in East Tyrol ,"What is the relation between The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol and significant event","Whose first successful, documented attainment of the top of a mountain, or specific route was a significant event",Mountain
560,Beinn Udlamain has the peak bagging classification of Tump.,A mountain has the peak bagging classification of a hill.,What mountain has the peak classification of a hill?,What is the relation between a mountain and a hill?,What is the peak bagging classification of a mountain?,Mountain
561,Beinn Udlamain has the peak bagging classification of Tump.,The  Scottish mountain has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,Who has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What is the relation between The  Scottish mountain and the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What peak bagging classification does the Scottish mountain has?,Mountain
562,Mons Gruithuisen Gamma is named after Gruithuisen.,A mountain is named after a crater. ,What mountain is named after a crater?,What is the relation between a mountain and a crater?,What crater is a mountain named after?,Mountain
563,Mons Gruithuisen Gamma is named after Gruithuisen., The mountain on the Moon is named after lunar impact crater,Who  is named after lunar impact crater,What is the relation between The mountain on the and lunar impact crater,After who is The mountain on the Moon named ,Mountain
564,The OS grid reference for Clach-Mheall Dubh is NN727904.,The OS grid reference for a mountain is a number.,What mountain has x as OS grid reference?,What is the relation between a mountain and a OS grid reference?,What is the OS grid reference of a mountain?,Mountain
565,The OS grid reference for Clach-Mheall Dubh is NN727904.,The OS grid reference for mountain in the United Kingdom is NN727904,Whose OS grid reference is NN727904,What is the relation between The OS grid reference for mountain in the United Kingdom and NN727904,What is the OS grid reference for mountain in the United Kingdom ,Mountain
566,Golany is different from Golany.,A mountain is different from a village.,What mountain is different from a village?,What is the relation between a mountain and a village?,What village is different from a mountain?,Mountain
567,Golany is different from Golany.,The mountain in Spain is different from village of Poland,Who is different from village of Poland,What is the relation between The mountain in Spain and the village of Poland,Who is different from mountain in Spain,Mountain
568,The Morne Trois Pitons are made from basalt.,A mountain is made from rock.,What mountain is made from rock?,What is the relation between a mountain and a rock?,What rock is a mountain made from?,Mountain
569,The Morne Trois Pitons are made from basalt.,The mountain in Dominica are made from mafic igneous rock,What are made from mafic igneous rock,What is the relation between The mountain in Dominica and mafic igneous rock,From what are The mountain in Dominica made from,Mountain
570,,A mountain is located in a time zone. ,What mountain is located in a time zone?,What is the relation between a mountain and a time zone?,What time zone is a mountain located in?,Mountain
571,,The mountain in Albania is located in the european time zone,Which one  is located in the european time zone,What is the relation between The mountain in Albania and the european time zone,In which time zone is the mountain in Albania located?,Mountain
572,Pizzo Alzasca's parent peak is Rosso di Ribia.,A mountain's parent peak is a mountain.,What mountain has parent peak a mountain?,What is the relation between two mountains?,What mountain is the parent peak of a mountain?,Mountain
573,Pizzo Alzasca's parent peak is Rosso di Ribia.,The mountain in Switzerland's parent peak is a mountain in Switzerland,Whose parent peak is a mountain in Switzerland,What is the relation between The mountain in Switzerland's parent peak and a mountain in Switzerland,Who is the parent peak of the mountain in Switzerland,Mountain
574,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,-,-,-,-,Mountain
575,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,The book is the source of Դողոդաղ,The source of whom is the book?,What is the relation between The book and the source of Դողոդաղ,Who is the source of Դողոդաղ,Mountain
576,Midthaugen has a topographic isolation of 18.5 km.,A mountain has a topographic isolation of x.,What mountain has a topographic isolation of x?,What is the relation between a mountain and a topographic isolation?,What topographic isolation does a mountain have?,Mountain
577,Midthaugen has a topographic isolation of 18.5 km.,"The mountain in Nesseby municipality, Norway has a topographic isolation of 18.5 km",Which one has a topographic isolation of 18.5 km,"What is the relation between The mountain in Nesseby municipality, Norway and a topographic isolation of 18.5 km","How much is the topographic isolation of the mountain in Nesseby municipality, Norway ",Mountain
578,Gora Litvinova is located on the terrain feature of Urup.,A mountain is located on the terrain feature of an island.,What mountain is located on the terrain feature of an island?,What is the relation between a mountain and an island?,What island is a mountain located on the terrain feature of?,Mountain
579,Gora Litvinova is located on the terrain feature of Urup.,The mountain in Russia is located on the terrain feature of island in Russia,Who  is located on the terrain feature of island in Russia,What is the relation between The mountain in Russia and the island in Russia,Where is located the mountain in Russia,Mountain
580,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,A mountain is located in the protected area of a national park.,What mountain is located in the protected area of a national park?,What is the relation between a mountain and a national park?,What national park is a mountain located in the protected area of?,Mountain
581,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,The mountain in New Zealand is located in the protected area of national park in New Zealand,What  is located in the protected area of national park in New Zealand,What is the relation between The mountain in New Zealand and the protected area of national park in New Zealand,Where is the mountain in new zeland located?,Mountain
582,Shiveluch is part of the Kamchatka Peninsula.,A volcano is part of a peninsula.,What volcano is part of a peninsula?,What is the relation between a volcano and a peninsula?,What peninsula is a volcano part of?,Mountain
583,Shiveluch is part of the Kamchatka Peninsula.,The Active volcano  is part of the peninsula in Eastern Russia,Who is part of the peninsula in Eastern Russia,What is the relation between The Active and the peninsula in Eastern Russia,Where is the active volcano part of?,Mountain
584,Stob Coire Sgreamhach is in the historic county of Argyll.,A mountain is in a county.,What mountain is in a county?,What is the relation between a mountain and a county?,What county is a mountain in?,Mountain
585,Stob Coire Sgreamhach is in the historic county of Argyll.,The 1072m high mountain in Scotland  is in the historic county of Argyll shire of western Scotland,Who is in the historic county of Argyll shire of western Scotland,What is the relation between The 1072m high mountain in Scotland  and the historic county of Argyll shire of western Scotland,Where is The 1072m high mountain in Scotland  ?,Mountain
586,Segltindan is the native label of Bårjjåsa.,A label is the native label of a mountain.,What mountain has a native label?,What is the relation between a mountain and a label?,What label does a mountain have as a native label?,Mountain
587,Segltindan is the native label of Bårjjåsa.,The mountain is the native label of mountain in Norway,To whom is the mountain a native label?,What is the relation between The mountain and the native label of mountain in Norway,Who  is the native label of mountain in Norway,Mountain
588,Anthozoan Mountain has a topographic prominence of 304 metres.,A mountain has a topographic prominence of x meters.,What mountain has a topographic prominence of x meters?,What is the relation between a mountain and a topographic prominence?,What topographic prominence does a mountain have?,Mountain
589,Anthozoan Mountain has a topographic prominence of 304 metres.,The mountain in Canada has a topographic prominence of 304 metres,Who has a topographic prominence of 304 metres,What is the relation between The mountain in Canada and topographic prominence of 304 metres,How much is the topographic prominence of the mountain in Canada,Mountain
590,Veľka Furkaska is in the Tatra mountains.,A mountain is in a mountain range.,What mountain is in a mountain range?,What is the relation between a mountain and a mountain range?,What mountain range is a mountain in?,Mountain
591,Veľka Furkaska is in the Tatra mountains.,The mountain in Slovakia is in the mountain range in Europe,Which one a is in the mountain range in Europe,What is the relation between The mountain in Slovakia and the mountain range in Europe,Where is the mountain in Slovakia?,Mountain
592,Puig de les Piles is on the continent of Europe.,A mountain is on a continent. ,What mountain is on a continent?,What is the relation between a mountain and a continent?,What continent is a mountain in?,Mountain
593,Puig de les Piles is on the continent of Europe.,The mountain in Spain is on the continent on Earth,What  is on the continent on Earth,What is the relation between The mountain in Spain and the continent on Earth,Where is the mountain in Spain?,Mountain
594,Cerro Colcani is 3788 metres above sea level.,A mountain is x meters above sea level.,What mountain is x meters above sea level?,What is the relation between a mountain and meters above sea level?,How many meters above sea level is a mountain?,Mountain
595,Cerro Colcani is 3788 metres above sea level.,The mountain in Bolivia is 3788 metres above sea level,What is 3788 metres above sea level,What is the relation between The mountain in Bolivia and 3788 metres above sea level,How many metres above sea level is the mountain in Bolivia,Mountain
596,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,A mountain is located in the administrative territorial entry of a state.,What mountain is located in the administrative territorial entry of a state?,What is the relation between a mountain and the administrative territorial entity? ,What administrative territorial entity is a mountain located in?,Mountain
597,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,"The mountain in Jalisco, Mexico is located in the administrative territorial entity of state of Mexico",Who  is located in the administrative territorial entity of state of Mexico,"What is the relation between The mountain in Jalisco, Mexico and the administrative territorial entity of state of Mexico","Where is located The mountain in Jalisco, Mexico ",Mountain
598,Hawes Knob is located in Australia.,A mountain is located in a country.,What mountain is located in a country?,What is the relation between a mountain and a country?,What country is a mountain located in?,Mountain
599,Hawes Knob is located in Australia.,The mountain in Australia  is located in country in the Southern Hemisphere,What   is located in country in the Southern Hemisphere,What is the relation between The mountain in Australia  and the country in the Southern Hemisphere,Where is the mountain in Australia located?,Mountain
600,The University of Valencia has a budget of 372154373 euro.,A building in Valencia can spend until 372154373 euro.,What can spend in Valencia 372154373 euro?,What is the relation of the bulding and money?,How much can spend the building in Valencia?,University
601,The University of Valencia has a budget of 372154373 euro.,A university has a budget.,What university has a budget?,What is the relation between a university and a budget?,What is the budget of a university?,University
602,Hokkaido University's name in kana is __________.,A bulding name in Kana is  __________.,Who is called  __________ in Kana?,What is __________ in Kana for University of Hokkaido ?,What is the name of a bulding in Kana?,University
603,Hokkaido University's name in kana is __________.,A university's name in kana is name.,What university's name in kana is a name?,What is the relation between a university and a name?,What is a university's name in kana?,University
604,Ngee Ann Polytechnic is located on street Clementi Road.,An academic institution location is on street Clementi Road.,What is located on street Clementi Road?,What is the relation of the academic institution and street Clementi Road?,Where is the  academic institution located?,University
605,Ngee Ann Polytechnic is located on street Clementi Road.,A university is located on a street.,What university is located on a street?,What is the relation between a university and a street?,What street is a university located on?,University
606,The University of Vincennes is followed by the Paris 8 University.,The experimental university is followed by a public university.,What is followed by a public university?,What is the realation of the experimental university and the public university?,What Follows The experimental university?,University
607,The University of Vincennes is followed by the Paris 8 University.,A university is followed by a university.,What university is followed by a university?,What is the relation between two universities?,What university follows a university?,University
608,"The Government Polytechnic College, Vandiperiyar, Kumily was approved by the All India Council for Technical Education.",The Indian College got the approvment from AICTE,What was approved by AICTE?,Waht is the relation of the Indian College and AICTE?,Who approved the Indian College?,University
609,"The Government Polytechnic College, Vandiperiyar, Kumily was approved by the All India Council for Technical Education.",A university was approved by a council.,What university was approved by a council?,What is the relation between a university and a council?,What council approved a university?,University
610,Waseda University follows T_ky_ Senmon Gakk_.,A private university in Tokyo follows a predecessor of Waseda University.,Who  follows a predecessor of Waseda University?,What is the relation of A private university in Tokyo and the predecessor of Waseda University?,What is followed by the private university in Tokyo?,University
611,Waseda University follows T_ky_ Senmon Gakk_.,A university follows a university.,What university follows a university?,What is the relation between two universities?,What university is followed by a university?,University
612,"Federal Government College, Idoani's language of work or name is English.","Federal Government College, Idoani's language of work or name is a west germanic language originating in England.",Who has the language of work or name is a west germanic language originating in England?,"What is the relation of Federal Government College, Idoani and the west Germanic language originating in England?","What is the languange of work or name for the  Federal Government College, Idoani?",University
613,"Federal Government College, Idoani's language of work or name is English.",A college's language of work or name is a language.,What college's language of work or name is a language?,What is the relation between a college and a language?,What language is the language of work or name of a college?,University
614,The University of Indonesia's academic major is pharmacy.,The academic major of the state university in Dekok of Indonesia is pharmacy which is health facility where medicines are sold and medical advices are given.,Whose academic major is pharmacy?,What is pharmacy for University of Indonesia?,What is academic major of University of indonesia?,University
615,The University of Indonesia's academic major is pharmacy.,A university's academic major is a study field.,What university's academic major is a study field?,What is the relation between a university and a study field?,What is a university's academic major?,University
616,Manisa Celal Bayar University is separated from Ege University.,Turkish public university located in Manisa is seperated from public university in Izmir.,Which university is seperated from Ege University?,How is the public university in Manisa related to public university in Uzmir?,From whom is the  Manisa Celal Bayar University  separated from?,University
617,Manisa Celal Bayar University is separated from Ege University.,A university is separated from a university.,What university is separated from a university?,What is the relation between two universities?,What university is separated from a university?,University
618,The State University of Roraima is a source of income for the state government.,An academic publisher is a source of income for government in a federal state.,What is one source of income for the state government?,What is State University of Roraima to the state government?,Whose source of income is State University of Roraima?,University
619,The State University of Roraima is a source of income for the state government.,A university is a source of income for a government.,What is a source of income for a government?,What is the relation between a university and a government?,What is a university a source of income for?,University
620,Alain Badiou is a participant in the University of Vincennes.,A french writer and philosopher is participant in an experimental university build in 1968 in Paris.,Where is Alain Badiou participating? ,What is Alain Baiou doing at the University of Vincennes?,Who is participating at the university of Vincennes,University
621,Alain Badiou is a participant in the University of Vincennes.,A person is a participant in a university.,Who is a participant in a university?,What is the relation between a person and a university?,Where is a person a participant in?,University
622,The official color of the University of Lagos is maroon.,The official color of Nigerian Public university is brownish-red color.,Where is Maroon the official color?,What is Maroon for the Nigerian public university?,What is the official color of Nigerian Public university?,University
623,The official color of the University of Lagos is maroon.,The official color of a university is a color.,What university's official color is a color?,What is the relation between a university and a color?,What is the official color of a university?,University
624,Montclair State University's field of work is performing arts.,Public university in New Jersey  has performing art as field of work.,Where is performing art a field of work?,What is performing art for Montclair State University?,What is one filed of work for Montclair State University?,University
625,Montclair State University's field of work is performing arts.,A university's field of work is art.,What university's field of work is art?,What is the relation between a university and art?,What is a university's field of work?,University
626,Deggendorf Institute of Technology's director / manager is Reinhard Höpfl.,Technische Hochschule's director/manager is a German Physicist.,What is Reinhard Höpfl managing?,How is Reinhard Höpfl related to Technische hochschule?,Who is the director at Technische Hochschule?,University
627,Deggendorf Institute of Technology's director / manager is Reinhard Höpfl.,A institute's director/manager is a person.,What institute's director/manager is a person?,What is the relation between an institute and a person?,Who is a director/manager of an institute?,University
628,Kosin Taehakkyo is the romanization of McCune-Reischauer's Kosin University.,Kosin Taehakkyo is the romanization of Kosin University.,Whose romanization is Kosin Taehakkyo?,how are Kosin university of Kosin and Kosin taehakkyo related?,What is the remonaization of Kosin University?,University
629,Kosin Taehakkyo is the romanization of McCune-Reischauer's Kosin University.,-,-,-,What is the romanization of an university?,University
630,The Revised Romanization of Daejeon University is Daejeon Daehakgyo.,Daejeon University has the revised romanization called Daejeon Daehakgyo.,Whose revised romanization is Daejeon Daehakgyo?,What is Daejeon Daehakgyo for Daejeon University?,What is the revised romanization of Daejeon University?,University
631,The Revised Romanization of Daejeon University is Daejeon Daehakgyo.,-,-,-,-,University
632,The President of the University of Toronto is the head of the organization.,University of Toronto's president is the head of the organization.,Whose president is the head of organization?,What is the president of University of Toronto for the organization?,The president of whom is the head of organization?,University
633,The President of the University of Toronto is the head of the organization.,The president of a university is the head of the organization.,What university's head of the organization is a president?,What is the relation between a university and a president?,Who is the head of a university?,University
634,Baker University is a significant event in the field of mixed-sex education.,University in the United states is significant even as system of education where both genders are educated together.,What is significat event in field of mixed-sex education?,What does Baker University represent in the field of mixed sex education?,What does Baker University represent for mixed-sex education?,University
635,Baker University is a significant event in the field of mixed-sex education.,A university is a significant event in an education system.,What university is a significant event in an education system?,What is the relation between a university and an education system?,What is a university's significant event?,University
636,The University of Bengkulu is 17 metres above sea level.,University of Bengkulu is 17 units of length in SI above the sea.,What object is 17 meters above the sea?,How is the University of Bengkulu positioned in report with sea level?,How many meters above the sea is the university of Bengkulu?,University
637,The University of Bengkulu is 17 metres above sea level.,A university is a number of meters above sea level.,What university is a number of meters above sea level?,What is the relation between a university and a number of meters above sea ground?,How many meters above sea level is a university?,University
638,"Babcock University, Ilishan Remo is located in the time zone Central European Time.",Private university in Nigeria is located in the standard time (UTC+01:00),What university is located in standard time (UTC+01:00),What is the relation between Babcock university and time zone Central European Time?,At what time zone is the Babcock University located?,University
639,"Babcock University, Ilishan Remo is located in the time zone Central European Time.",A university is located in a timezone.,What university is located in a timezone?,What is the relation between a university and a timezone?,What timezone is a university located in?,University
640,Charles University is a higher education institution.,oldest and largest university in the Czech Republic is legal form of an organization.,What is a higher education institution in Czech Republic?,What is the relation between Charles University and high education institution?,What is Charles University?,University
641,Charles University is a higher education institution.,A university is a legal form of an organization.,What university is a legal form of an organization?,What is the relation between a university and a legal form of an organization?,What is the legal form of a university?,University
642,Ravensbourne University is located in the historic county of Kent.,An  university in London is located in historic country of England.,What is located in Kent?,How is Ravensbourne  University related with historic country in England?,Where is Ravensbourne  located?,University
643,Ravensbourne University is located in the historic county of Kent.,A university is located in a county.,What university is located in a county?,What is the relation between a university and a county?,What county is a university located at?,University
644,Keszthelyi Agrártudományi Egyetem was replaced by the University of Pannonia.,Keszthelyi Agrártudományi Egyetem was replaced with another university.,What was replaced by University of Pannonia?,What did University of Pannonia do to  Keszthelyi Agrártudományi Egyetem?,With what was  Keszthelyi Agrártudományi Egyetem replaced?,University
645,Keszthelyi Agrártudományi Egyetem was replaced by the University of Pannonia.,A university was replaced by a university.,What university was replaced by a university?,What is the relation between two universities?,What university replaces a university?,University
646,Haskell Indian Nations University is designated as a National Historic Landmark.,One University is designated as historic building.,What university is designated to be historic building?,How is Haskell Indian Nations university related with National Historic Landmark?,As what is designated Haskell Indian Nations University?,University
647,Haskell Indian Nations University is designated as a National Historic Landmark.,A university is designated as a landmark.,What university is designated as a landmark?,What is the relation between a university and a landmark?,What is a university designated as?,University
648,Rostov State Transport University was awarded the Order of the Red Banner of Labour.,University in Russia was rewarded with Order of the Soviet Union.,Which university is rewarded with Order of the Soviet Union?,What is the relation of University in Rostov-on-Don and Order of the Soviet union?,For what is  Rostov State Transport University  rewarded for?,University
649,Rostov State Transport University was awarded the Order of the Red Banner of Labour.,A university was awarded an award.,What university was awarded an award?,What is the relation between a university and an award?,What award was a university awarded?,University
650,The phone number of Durham University is +44-1913342000.,Collegiate public research university's number is +44-1913342000.,Whose number is +44-1913342000?,What does the phone number +44-1913342000 has with Durham University to do?,What is the phone number of Durham University?,University
651,The phone number of Durham University is +44-1913342000.,The phone number of a university is a number.,What university's phone number is a number?,What is the relation between a university and a phone number?,What is the phone number of a university?,University
652,St. John's University's religion is the Catholic Church.,Catholic Church is the religion of one university in New York,Whose religion is the Catholic Church?,What is the relation between Catholic Church and St. John's University?,What is the religion of St.John's University?,University
653,St. John's University's religion is the Catholic Church.,A university's religion is a religion.,What university's religion is a religion?,What is the relation between a university and a religion?,What is a university's religion?,University
654,"Mabel Fletcher Technical College was disbanded, abolished or demolished in 1986.","vocational school in Liverpool was disbanded, abolished or demolished in 1986.","What was disbanded, abolished or demolished in 1986?",What happen to Mabel Fletcher Technical College in 1986?,"When  was disbanded, abolished or demolished the Mabel Fletcher Technical College?",University
655,"Mabel Fletcher Technical College was disbanded, abolished or demolished in 1986.","A university was disbanded, abolished or demolished in a time.","What university was disbanded, abolished or demolished in a time?",What is the relation between a university and a time?,"When was a university disbanded, abolished or demolished?",University
656,The University of Toronto is described by source as Medvik.,"University in Toronto  is described by  database of Czech scientific bibliography, mostly medicinal.","what is described by database of Czech scientific bibliography, mostly medicinal?","What is the relation between University of Toronto and database of Czech scientific bibliography, mostly medicinal?",From what is university of Toronto described?,University
657,The University of Toronto is described by source as Medvik.,A university is described by source by a database.,What university is described by source by a database?,What is the relation between a university and a database?,What described a university?,University
658,The University of Alabama at Birmingham is part of the University of Alabama System., Public university in Birmingham is part of state university system.,What is part of state university system?,What is the relationship between University of Alabama and state university system?,What is University of Alabama part of?,University
659,The University of Alabama at Birmingham is part of the University of Alabama System.,A university is part of a university system.,What is part of a university system?,What is the relation between a university and a university system?,What is a university part of?,University
660,The University of Cape Town employs 5442 people.,University in Cape Town employs 5442 people.,What university employed 5422 people?,What did university in Cape  Town do to 5422 people?,How many people did a university in Cape Town employ?,University
661,The University of Cape Town employs 5442 people.,A university employs a number of people.,What employs a number of people?,What is the relation between a university and a number of people?,How many people does a university employ?,University
662,Waseda University replaces T_ky_ Senmon Gakk_.,Private university in Tokyo replaces The predecessor of Waseda University.,Who replaced The predecessor of Waseda University?,What did Waseda University did to T_ky_ Senmon Gakk_?,What did Waseda University replace?,University
663,Waseda University replaces T_ky_ Senmon Gakk_.,A university replaces a university.,What replaces a university?,What is the relation between two universities?,What is a university replaced by?,University
664,Hélène Pauliat is the chairperson of the University of Limoges.,French jurist is the chairperson of a French university.,The chairperson of what institute is a french journalist?,How is Hélène Pauliat related to University of Limoges?,Who is the chair person of University of Limoges?,University
665,Hélène Pauliat is the chairperson of the University of Limoges.,A person is the chairperson of a university.,What is a person?,What is the relation between a university and a person?,Who is a university's chairperson?,University
666,Tuscia University was started in 1979.,One Italian university was started in 1979.,What university was started in 1979?,What happen to University of Tuscia in 1979?,When was University of Tuscia started?,University
667,Tuscia University was started in 1979.,A university was started in a time.,What was started in a time?,What is the relation between a university and a time?,When was a university started?,University
668,Çanakkale Onsekiz Mart University uses the Turkish language.,Turkish public university uses the Turkish Language?,Which university use Turkish language?,How is the Turkish public university located in Çanakkale related with Turkish Language?,What language does the the public universtiy located in Çanakkale uses?,University
669,Çanakkale Onsekiz Mart University uses the Turkish language.,A university uses a language.,What uses a language?,What is the relation between a university and a language?,What language does a university use?,University
670,The motto of the University of Waterloo is In harmony with truth.,Public research university in Waterloo is In harmony with truth.,Whose motto is in harmony with truth?,"how is ""in harmony with truth"" related with University of Waterloo?",What is the motto of University of Waterloo?,University
671,The motto of the University of Waterloo is In harmony with truth.,The motto of a university is a motto.,What is a motto?,What is the relation between a university and a motto?,What is a university's motto?,University
672,The University of Amsterdam is different from the Vrije Universiteit Amsterdam., University of Amsterdam is different from one other university in Amsterdam.,Which university is different from Vrije Universiteit Amsterdam?,What is the relationship between University of Amsterdam and  Vrije Universiteit Amsterdam?,From whom is university of Amsterdam different?,University
673,The University of Amsterdam is different from the Vrije Universiteit Amsterdam.,A university is different from a university. ,What is different from a university?,What is the relation between universities?,What is a university different from?,University
674,Harvard University is the native label for Harvard University.,is the native label for private research university in Cambridge.,"What is the native label for private research university in Cambridge, Massachusetts, United States?","How is Harvard university related with private research university in Cambridge, Massachusetts, United States?",what is the native label of Harvard University?,University
675,Harvard University is the native label for Harvard University.,A label is the native label of a university.,What is a label?,What is the relation between a label and a university?,What is a university's label?,University
676,The University of Auckland grants a Master of Marine Studies.,University in New Zealand grants a Master of Marine Studies.,What university grants a Master of Marine Studies?,what does the University of Auckland provide for Marine Studies?,What kind of master does the University of Auckland grant?,University
677,The University of Auckland grants a Master of Marine Studies.,A university grants a degree.,What grants a degree?,What is the relation between a university and a degree?,What does a university grant?,University
678,"The IPv6 routing prefix for Voronezh State University is 2001:6d0:fff::/48.
",Voronezh State University IPv6 routing prefix is  2001:6d0:ffff::/48,Who has the 2001:6d0:fff::/48 prefix?,What is the relation of prefix and the Voronezh State University?,What prefix has the Voronezh State University?,University
679,"The IPv6 routing prefix for Voronezh State University is 2001:6d0:fff::/48.
",The IPv6 routing prefix for a university is a prefix. ,What is a prefix?,What is the relation between a university and a prefix?,What is the IPv6 routing prefix of a university?,University
680,The Faculté polytechnique de Mons was founded by Jean-Baptiste Thorn.,The Faculty was founded by the Luxembourgian politician and revolutionary,What founded the Luxembourgian politician and revolutionary?,What is the relation of the faculty and the luxembourgian politician and revolutionary?,Who founded the  Faculté polytechnique de Mons?,University
681,The Faculté polytechnique de Mons was founded by Jean-Baptiste Thorn.,A faculty was founded by a person.,What was founded by a person?,What is the relation between a faculty and a person?,Who founded a faculty?,University
682,The short name of Donetsk National Technical University is ____ ______.,The short name of Technical University is  ____ ______.,Who has the short name  ____ ______?,What is the relation of Technical University and  ____ ______?,What is the short name of Technical University?,University
683,The short name of Donetsk National Technical University is ____ ______.,The short name for a university is a name.,What is a name?,What is the relation between a university and a name?,What is a university's short name?,University
684,Namangan Engineering Construction Institute is located in Namangan.,The Construction Institute is located in city in Uzbekistan.,What is located on city in Uzbekistan?,What is the relation of Construction Insitute and the city in Uzbekistan?,Where is located the Construction Institute?,University
685,Namangan Engineering Construction Institute is located in Namangan.,An institution is located in a city.,What is located in a city?,What is the relation between an institution and a city?,Where is an institution located at?,University
686,The Ryazan State Medical University is named after Ivan Pavlov.,The healthcare organization in Ryazan is named after the Russian physiologist.,What is named after the Russian physiologist?,What is the relation of The healthcare organization in Ryazan  and the Russian physiologist?,After whom is  The healthcare organization in Ryazan named?,University
687,The Ryazan State Medical University is named after Ivan Pavlov.,A university is named after a person.,What is named after a person?,What is the relation between a university and a person?,What is a university named after?,University
688,The Polish Academy of Sciences is the parent organization of Collegium Civitas.,A University in Warsaw is the parent organization of  national academy of sciences for Poland.,Who is the parent of the national academy of sciences for Poland?,What is the relation of the University in Warsaw and the national academy of sciences for Poland?,Who is the child of the  University in Warsaw?,University
689,The Polish Academy of Sciences is the parent organization of Collegium Civitas.,A university is the parent organization of an academy.,What is the parent organization of an academy?,What is the relation between a university and an academy?,What is a university a parent of?,University
690,The University of Essex's IPv4 routing prefix is 155.245.0.0/16.,The University of Essex's IPv4 routing prefix is 155.245.0.0/16.,Who has the IPv4 routing prefix  of 155.245.0.0/16?,What is the relation of The University of Essex and 155.245.0.0/16? and,What IPv4 routing prefix has The University of Essex?,University
691,The University of Essex's IPv4 routing prefix is 155.245.0.0/16.,A university's IPv4 routing prefix is a prefix.,What is a prefix?,What is the relation between a university and a prefix?,What is a university's IPv4 routing prefix?,University
692,The University of Southern California is the owner of KDFC.,The private research university  of Southern California is the owner of the   radio station in the San Francisco Bay Area.,Who owns the  radio station in the San Francisco Bay Area?,What is the relation of  radio station in the San Francisco Bay Area and the radio station in the San Francisco Bay Area?,What owns the The private research university  of Southern California?,University
693,The University of Southern California is the owner of KDFC.,A university is the owner of a radio station.,What is the owner of a radio station?,What is the relation between a university and a radio station?,What is a university an owner of?,University
694,Dalian University of Technology is affiliated with Project 211.,The university in Dalian is affiliated with the Chinese plan for higher education?,Who is affiliated with the Chinese plan for higher education?,What is the relation of The university in Dalian and the Chinese plan for higher education?,What is affiliated with The university in Dalian?,University
695,Dalian University of Technology is affiliated with Project 211.,A university is affiliated with a plan.,What is affiliated with a plan?,What is the relation between a university and a plan.,What is a university affiliated with?,University
696,The postal code of the University of Chester is CH1 4BJ.,The postal code of the University of Chester is CH1 4BJ.,Who has the postal code CH1 4BJ?,What is the realation of the University of Chester and the postal code CH1 4BJ?,What postal code has the University of Chester?,University
697,The postal code of the University of Chester is CH1 4BJ.,The postal code of a university is code.,What is a code?,What is the relation between a university and a code?,What is a university's postal code?,University
698,"Duke University street address is 103 Allen Bldg, Durham, NC, 27708.","The private university in Durham street address is 103 Allen Bldg, Durham, NC, 27708.","Who has the street address in 103 Allen Bldg, Durham, NC, 27708?","What is the relation of The private university in Durham and the street address is 103 Allen Bldg, Durham, NC, 27708?",What address has the private university in Durham?,University
699,"Duke University street address is 103 Allen Bldg, Durham, NC, 27708.",A university's street address is address.,What is address?,What is the relation between a university and an address?,What is the street address of a university?,University
700,The Joetsu University of Education has 1327 students.,The Higher education institution in Niigata Prefecture has 1327 students.,Who has 1327 students in Niigata Prefecture?,What is the relation of the Higher education institution in Niigata Prefecture and 1327 students?,How many students has The Higher education institution in Niigata Prefecture?,University
701,The Joetsu University of Education has 1327 students.,A university has a number of students.,What has a number of students?,What is the relation between a university and a number of students?,How many students does a university have?,University
702,Sta_islavs Buka is the rector of the Baltic International Academy.,The Baltic International Academy has as a rector Sta_islavs Buka.,Who has Sta_islavs Buka as a rector?,What is the relation of Sta_islavs Buka and The Baltic International Academy?,Who is the rector the Baltic International Academy?,University
703,Sta_islavs Buka is the rector of the Baltic International Academy.,A person is the rector of an academy.,What is a person?,What is the relation between a university and a person?,Who is the rector of an academy?,University
