,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
366,Osam bulgogi is a Romanized version of osam-pulgogi by McCune-Reischauer.,What is the Romanized version of osam-pulgogi called?,Who romanized Osam bulgogi?,What is the Romanized version of Osam bulgogi?,Food,The Korean dish made from squid and pork belly is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is the relation between The Korean dish made from squid and pork belly and a Romanized version of osam-pulgogi  by McCune-Reischauer ,What version is The Korean dish made from squid and pork belly ?,Food
367,Osam bulgogi is a Romanized version of osam-pulgogi by McCune-Reischauer.,What is the Romanized version of osam-pulgogi called?,Who romanized Osam bulgogi?,What is the Romanized version of Osam bulgogi?,Food,The Korean dish made from squid and pork belly is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is the relation between The Korean dish made from squid and pork belly and a Romanized version of osam-pulgogi  by McCune-Reischauer ,What version is The Korean dish made from squid and pork belly ?,Food
368,Osam bulgogi is a Revised Romanization of osam-bulgogi.,What is the Revised Romanization of osam-bulgogi?,What is osam bulgogi?,What is the Revised Romanization of?,Food,,,,What version is The Korean dish made from squid and pork belly ,Food
369,Osam bulgogi is a Revised Romanization of osam-bulgogi.,What is the Revised Romanization of osam-bulgogi?,What is osam bulgogi?,What is the Revised Romanization of?,Food,,,,What version is The Korean dish made from squid and pork belly ,Food
370,Philadelphia has 50463 followers on social media.,What city has 50463 followers on social media?,What is Philadelphia's most popular social media account?,How many followers does Philadelphia have on social media?,Food,The brand of cheese product has 50463 followers on social media,Who has 50463 followers on social media,What is the relation between The brand of cheese product and 50463 followers on social media,How many followers does the brand of cheese product have?,Food
371,Philadelphia has 50463 followers on social media.,What city has 50463 followers on social media?,What is Philadelphia's most popular social media account?,How many followers does Philadelphia have on social media?,Food,The brand of cheese product has 50463 followers on social media,Who has 50463 followers on social media,What is the relation between The brand of cheese product and 50463 followers on social media,How many followers does the brand of cheese product have?,Food
372,Emmental français est-central produced 3196 tonne.,What company produced 3196 tonne?,How many tonnes did Emmental français est-central produce?,How much was produced by Emmental français est-central?,Food,The French cheese produced 3196 tonne,Who produced 3196 tonne,What is the relation between The French cheese and 3196 tonne,How many tonne produced the french cheese?,Food
373,Emmental français est-central produced 3196 tonne.,What company produced 3196 tonne?,How many tonnes did Emmental français est-central produce?,How much was produced by Emmental français est-central?,Food,The French cheese produced 3196 tonne,Who produced 3196 tonne,What is the relation between The French cheese and 3196 tonne,How many tonne produced the french cheese?,Food
374,Shashlik is said to be the same as kebab.,What is the same as kebab?,What is Shashlik?,Shashlik is said to be the same as what?,Food,The form of shish kebab is said to be the same as class of roasted meat dishes,What is said to be the same as class of roasted meat dishes,What is the relation between The form of shish kebab and the class of roasted meat dishes,is said to be the same as The form of shish kebab ,Food
375,Shashlik is said to be the same as kebab.,What is the same as kebab?,What is Shashlik?,Shashlik is said to be the same as what?,Food,The form of shish kebab is said to be the same as class of roasted meat dishes,What is said to be the same as class of roasted meat dishes,What is the relation between The form of shish kebab and the class of roasted meat dishes,is said to be the same as The form of shish kebab ,Food
376,Lätta is owned by Upfield.,What is the name of the company owned by Upfield?,Who owns Lätta?,Who owns Lätta?,Food,The Swedish butter brand owned by Unilever is owned by food company,What is owned by food company,What is the relation between The Swedish butter brand owned by Unilever and the food company,Who owns the Swedish butter brand?,Food
377,Lätta is owned by Upfield.,What is the name of the company owned by Upfield?,Who owns Lätta?,Who owns Lätta?,Food,The Swedish butter brand owned by Unilever is owned by food company,What is owned by food company,What is the relation between The Swedish butter brand owned by Unilever and the food company,Who owns the Swedish butter brand?,Food
378,Alghero Sangiovese is red.,What is red?,What color is Alghero Sangiovese?,What color is Alghero Sangiovese?,Food,The wine is in a color,What is in a color,What is the relation between The wine and a color,What is wine?,Food
379,Alghero Sangiovese is red.,What is red?,What color is Alghero Sangiovese?,What color is Alghero Sangiovese?,Food,The wine is in a color,What is in a color,What is the relation between The wine and a color,What is wine?,Food
380,Perilla oil is used in wood finishing.,What is used in wood finishing?,What is the purpose of perilla oil?,What is Perilla oil used for?,Food,The Oil from the seeds of Perilla ocymoides is used in process of refining or protecting a wooden surface  ,What  is used in process of refining or protecting a wooden surface  ,What is the relation between The Oil from the seeds of Perilla ocymoides and the process of refining or protecting a wooden surface  ,Where is The Oil from the seeds of Perilla ocymoides used ,Food
381,Perilla oil is used in wood finishing.,What is used in wood finishing?,What is the purpose of perilla oil?,What is Perilla oil used for?,Food,The Oil from the seeds of Perilla ocymoides is used in process of refining or protecting a wooden surface  ,What  is used in process of refining or protecting a wooden surface  ,What is the relation between The Oil from the seeds of Perilla ocymoides and the process of refining or protecting a wooden surface  ,Where is The Oil from the seeds of Perilla ocymoides used ,Food
382,Faro is made by spontaneous fermentation.,What is made by spontaneous fermentation?,What is the process of making Faro?,What is the process that makes Faro?,Food,The type of lambic beer is made by spontaneous fermentation,What is made by spontaneous fermentation,What is the relation between The type of lambic beer and the spontaneous fermentation,How is The type of lambic beer made by ,Food
383,Faro is made by spontaneous fermentation.,What is made by spontaneous fermentation?,What is the process of making Faro?,What is the process that makes Faro?,Food,The type of lambic beer is made by spontaneous fermentation,What is made by spontaneous fermentation,What is the relation between The type of lambic beer and the spontaneous fermentation,How is The type of lambic beer made by ,Food
384,Fruit Stripe is a product of Ferrara Candy Company.,What is the name of the fruit that Ferrara Candy Company produces?,What is the name of the company that makes Fruit Stripe?,Fruit Stripe is a product of what company?,Food,The chewing gum is a product of American candy manufacture,Which one is a product of American candy manufacture,What is the relation between The chewing gum and the American candy manufacture,What product is the chewing gum?,Food
385,Fruit Stripe is a product of Ferrara Candy Company.,What is the name of the fruit that Ferrara Candy Company produces?,What is the name of the company that makes Fruit Stripe?,Fruit Stripe is a product of what company?,Food,The chewing gum is a product of American candy manufacture,Which one is a product of American candy manufacture,What is the relation between The chewing gum and the American candy manufacture,What product is the chewing gum?,Food
386,Beko mochi is native to Hokkaido Prefecture.,What is the native name of the native kochi?,What is Beko mochi native to?,Where is Beko mochi native?,Food,The Beko mochi is native to prefecture of Japan,Who  is native to prefecture of Japan,What is the relation between The Beko mochi and the prefecture of Japan,To which is Beko mochi a native?,Food
387,Beko mochi is native to Hokkaido Prefecture.,What is the native name of the native kochi?,What is Beko mochi native to?,Where is Beko mochi native?,Food,The Beko mochi is native to prefecture of Japan,Who  is native to prefecture of Japan,What is the relation between The Beko mochi and the prefecture of Japan,To which is Beko mochi a native?,Food
388,Pastéis de Bacalhau is a dish from Portugal.,What is the name of the dish from Portugal?,What type of food is Pastéis de Bacalhau?,Pastéis de Bacalhau is a dish from what country?,Food,The potato dish is a dish from a country in southwestern Europe,Which one is a dish from a country in southwestern Europe,What is the relation between The potato dish and a country in southwestern Europe,Where is the potato dish from?,Food
389,Pastéis de Bacalhau is a dish from Portugal.,What is the name of the dish from Portugal?,What type of food is Pastéis de Bacalhau?,Pastéis de Bacalhau is a dish from what country?,Food,The potato dish is a dish from a country in southwestern Europe,Which one is a dish from a country in southwestern Europe,What is the relation between The potato dish and a country in southwestern Europe,Where is the potato dish from?,Food
390,Passiflora edulis is a natural product of the taxon of passionfruit.,What fruit is Passiflora edulis a natural product of?,What is Passiflora edulis?,What is a natural product of the taxon of passionfruit?,Food,The species of plant are a natural product of the taxon of fruit of Passiflora edulis  ,Which taxon of fruit does the species of plant are a natural product,What is the relation between The species of plant and the taxon of fruit of Passiflora edulis  ,Which one are a natural product of the taxon of fruit of Passiflora edulis  ,Food
391,Passiflora edulis is a natural product of the taxon of passionfruit.,What fruit is Passiflora edulis a natural product of?,What is Passiflora edulis?,What is a natural product of the taxon of passionfruit?,Food,The species of plant are a natural product of the taxon of fruit of Passiflora edulis  ,Which taxon of fruit does the species of plant are a natural product,What is the relation between The species of plant and the taxon of fruit of Passiflora edulis  ,Which one are a natural product of the taxon of fruit of Passiflora edulis  ,Food
392,The common name of Sparus aurata is Dorade Royale.,What is the common name of Sparus aurata?,What is Sparus aurata's taxon common name?,What is the common name of Sparus aurata?,Food,The common name of species of fish is Dorade Royale,Whose common name is Dorade Royale?,What is the relation between The common name of species of fish and Dorade Royale,How is the common name of species of fish?,Food
393,The common name of Sparus aurata is Dorade Royale.,What is the common name of Sparus aurata?,What is Sparus aurata's taxon common name?,What is the common name of Sparus aurata?,Food,The common name of species of fish is Dorade Royale,Whose common name is Dorade Royale?,What is the relation between The common name of species of fish and Dorade Royale,How is the common name of species of fish?,Food
394,The Dodol Depok is located in Depok.,What is located in Depok?,What is the Dodol Depok's location?,Where is the Dodol Depok located?,Food,"The Indonesian rice cake is located in a City in West Java Province, Indonesia","What is located in a City in West Java Province, Indonesia","What is the relation between The Indonesian rice cake and a City in West Java Province, Indonesia  ",Where is the Indonesian rice cake located?,Food
395,The Dodol Depok is located in Depok.,What is located in Depok?,What is the Dodol Depok's location?,Where is the Dodol Depok located?,Food,"The Indonesian rice cake is located in a City in West Java Province, Indonesia","What is located in a City in West Java Province, Indonesia","What is the relation between The Indonesian rice cake and a City in West Java Province, Indonesia  ",Where is the Indonesian rice cake located?,Food
396,Granat Encyclopedic Dictionary describes cheese.,What does the Granat Encyclopedic Dictionary describe?,How is cheese described in the Granat Encyclopedic Dictionary?,What describes cheese?,Food,The seventh edition of Russian encyclopedic dictionary describes food,What does The seventh edition of Russian encyclopedic dictionary describe,What is the relation between The seventh edition of Russian encyclopedic dictionary and food,Who describes food,Food
397,Granat Encyclopedic Dictionary describes cheese.,What does the Granat Encyclopedic Dictionary describe?,How is cheese described in the Granat Encyclopedic Dictionary?,What describes cheese?,Food,The seventh edition of Russian encyclopedic dictionary describes food,What does The seventh edition of Russian encyclopedic dictionary describe,What is the relation between The seventh edition of Russian encyclopedic dictionary and food,Who describes food,Food
398,Longjing tea has the native label 龍井茶.,What tea has the native label <unk>?,,What is the native label for Longjing tea?,Food,"The pan-roasted green tea from the area of Longjing Village in Hangzhou, China has the native label 龍井茶",Who has the native label 龍井茶,"What is the relation between The pan-roasted green tea from the area of Longjing Village in Hangzhou, China and the native label 龍井茶",What native label does the pan-roasted green tea have?,Food
399,Longjing tea has the native label 龍井茶.,What tea has the native label <unk>?,,What is the native label for Longjing tea?,Food,"The pan-roasted green tea from the area of Longjing Village in Hangzhou, China has the native label 龍井茶",Who has the native label 龍井茶,"What is the relation between The pan-roasted green tea from the area of Longjing Village in Hangzhou, China and the native label 龍井茶",What native label does the pan-roasted green tea have?,Food
400,Grana Padano was created in Trentino-South Tyrol.,What was created in Trentino-South Tyrol?,Where was Grana Padano created?,Where was Grana Padano created?,Food,The Italian cheese was created in autonomous region in Northern Italy,Which one was created in autonomous region in Northern Italy,What is the relation between The Italian cheese and the autonomous region in Northern Italy,Where was the Italian cheese created?,Food
401,Grana Padano was created in Trentino-South Tyrol.,What was created in Trentino-South Tyrol?,Where was Grana Padano created?,Where was Grana Padano created?,Food,The Italian cheese was created in autonomous region in Northern Italy,Which one was created in autonomous region in Northern Italy,What is the relation between The Italian cheese and the autonomous region in Northern Italy,Where was the Italian cheese created?,Food
402,Pessac-Léognan is located in the administrative territorial entity of Gironde.,What is the name of the city in Gironde?,Where is Pessac-Léognan located?,Pessac-Léognan is located in what administrative territorial entity?,Food,The wine growing area is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is the relation between The wine growing area and the administrative territorial entity of French department in Nouvelle-Aquitaine,Where is The wine growing area located ,Food
403,Pessac-Léognan is located in the administrative territorial entity of Gironde.,What is the name of the city in Gironde?,Where is Pessac-Léognan located?,Pessac-Léognan is located in what administrative territorial entity?,Food,The wine growing area is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is the relation between The wine growing area and the administrative territorial entity of French department in Nouvelle-Aquitaine,Where is The wine growing area located ,Food
404,Carp is different from Carp.,What is different from carp?,What is the difference between Carp and Carp?,What is different from Carp?,Food,The species of fish is different from the family name,What  is different from the family name,What is the relation between The species of fish and the family name,What  is different from The species of fish ,Food
405,Carp is different from Carp.,What is different from carp?,What is the difference between Carp and Carp?,What is different from Carp?,Food,The species of fish is different from the family name,What  is different from the family name,What is the relation between The species of fish and the family name,What  is different from The species of fish ,Food
406,Lady Gaga is the name of Baby Gaga.,What is the name of Lady Gaga?,What is Lady Gaga's name?,What is the name of Baby Gaga?,Food,"The American singer, songwriter, actress, and activist is the name of the artist","Whose name is The American singer, songwriter, actress, and activist ","What is the relation between The American singer, songwriter, actress, and activist and the name of the artist",What is the name of the artist,Food
407,Lady Gaga is the name of Baby Gaga.,What is the name of Lady Gaga?,What is Lady Gaga's name?,What is the name of Baby Gaga?,Food,"The American singer, songwriter, actress, and activist is the name of the artist","Whose name is The American singer, songwriter, actress, and activist ","What is the relation between The American singer, songwriter, actress, and activist and the name of the artist",What is the name of the artist,Food
408,The catalog code for Herefordshire Beefing is 2000-046.,What is the catalog code for?,What is the name of the product that is sold by Herefordshire Beefing?,What is the catalog code for Herefordshire Beefing?,Food,The catalog code for apple cultivar is 2000-046,Whose catalog code is 2000-046,What is the relation between The catalog code for apple cultivar and 2000-046,What is the catalog code for apple cultivar?,Food
409,The catalog code for Herefordshire Beefing is 2000-046.,What is the catalog code for?,What is the name of the product that is sold by Herefordshire Beefing?,What is the catalog code for Herefordshire Beefing?,Food,The catalog code for apple cultivar is 2000-046,Whose catalog code is 2000-046,What is the relation between The catalog code for apple cultivar and 2000-046,What is the catalog code for apple cultivar?,Food
410,Adana kebabı is part of Turkish cuisine.,What is a part of Turkish cuisine?,,,Food,The kebab from the Turkish cuisine is part of culinary traditions of Turkey,What  is part of culinary traditions of Turkey,What is the relation between The kebab from the Turkish cuisine and the culinary traditions of Turkey,Where is the kebab from the Turkish cuisine part of?,Food
411,Adana kebabı is part of Turkish cuisine.,What is a part of Turkish cuisine?,,,Food,The kebab from the Turkish cuisine is part of culinary traditions of Turkey,What  is part of culinary traditions of Turkey,What is the relation between The kebab from the Turkish cuisine and the culinary traditions of Turkey,Where is the kebab from the Turkish cuisine part of?,Food
412,Alma was founded in 1966.,What was the name of the company that was founded in 1966?,When was Alma founded?,When was Alma founded?,Food,The dark sort of sweet cherries was founded in 1966,What was founded in 1966,What is the relation between The dark sort of sweet cherries and 1966,When was the dark sort of sweet cherries founded?,Food
413,Alma was founded in 1966.,What was the name of the company that was founded in 1966?,When was Alma founded?,When was Alma founded?,Food,The dark sort of sweet cherries was founded in 1966,What was founded in 1966,What is the relation between The dark sort of sweet cherries and 1966,When was the dark sort of sweet cherries founded?,Food
414,Caciocavallo silano has a protected designation of origin.,What has a protected designation of origin?,What is the protected designation of origin?,What does Caciocavallo silano have?,Food,The Italian cheese has a quality policy of the European Union for food,Who has a quality policy of the European Union for food,What is the relation between The Italian cheese and a quality policy of the European Union for food,What does the italian cheese have? ,Food
415,Caciocavallo silano has a protected designation of origin.,What has a protected designation of origin?,What is the protected designation of origin?,What does Caciocavallo silano have?,Food,The Italian cheese has a quality policy of the European Union for food,Who has a quality policy of the European Union for food,What is the relation between The Italian cheese and a quality policy of the European Union for food,What does the italian cheese have? ,Food
416,Strained yogurt is a dish from the Netherlands.,What is a dish from the Netherlands called?,What country is the yogurt from?,Where is strained yogurt from?,Food,The dairy product is a dish from the country in western Europe,Who is a dish from the country in western Europe,What is the relation between The dairy product and a dish from the country in western Europe,Where is the dairy product from?,Food
417,Strained yogurt is a dish from the Netherlands.,What is a dish from the Netherlands called?,What country is the yogurt from?,Where is strained yogurt from?,Food,The dairy product is a dish from the country in western Europe,Who is a dish from the country in western Europe,What is the relation between The dairy product and a dish from the country in western Europe,Where is the dairy product from?,Food
418,Arnold Palmer is made from lemonade.,What is the name of the Arnold Palmer drink?,What is Arnold Palmer made from?,What is Arnold Palmer made from?,Food,The beverage of iced tea and lemonade is made from lemon-flavored beverage,What  is made from lemon-flavored beverage,What is the relation between The beverage of iced tea and lemonade and the lemon-flavored beverage  ,From what is the beverage of iced tea and lemonade made from?,Food
419,Arnold Palmer is made from lemonade.,What is the name of the Arnold Palmer drink?,What is Arnold Palmer made from?,What is Arnold Palmer made from?,Food,The beverage of iced tea and lemonade is made from lemon-flavored beverage,What  is made from lemon-flavored beverage,What is the relation between The beverage of iced tea and lemonade and the lemon-flavored beverage  ,From what is the beverage of iced tea and lemonade made from?,Food
420,Ginataang kuhol contains coconut milk.,What is the name of the product that contains coconut milk?,What part of the coconut milk in ginataang kuhol?,What type of milk does Ginataang kuhol contain?,Food,The Ginataang kuhol contains liquid that comes from the grated meat of a coconut,Who contains liquid that comes from the grated meat of a coconut,What is the relation between The Ginataang kuhol and the liquid that comes from the grated meat of a coconut,What does the Ginataang kuhol contains?,Food
421,Ginataang kuhol contains coconut milk.,What is the name of the product that contains coconut milk?,What part of the coconut milk in ginataang kuhol?,What type of milk does Ginataang kuhol contain?,Food,The Ginataang kuhol contains liquid that comes from the grated meat of a coconut,Who contains liquid that comes from the grated meat of a coconut,What is the relation between The Ginataang kuhol and the liquid that comes from the grated meat of a coconut,What does the Ginataang kuhol contains?,Food
422,Sparks originates from the United States of America.,What is the name of the sprites that originates from the United States of America?,Where does Sparks originate from?,Where does Sparks originate from?,Food,The alcoholic beverage originates from the sovereign state in North America,What originates from the sovereign state in North America,What is the relation between The alcoholic beverage and the sovereign state in North America,From where does the alcoholic beverage originate?,Food
423,Sparks originates from the United States of America.,What is the name of the sprites that originates from the United States of America?,Where does Sparks originate from?,Where does Sparks originate from?,Food,The alcoholic beverage originates from the sovereign state in North America,What originates from the sovereign state in North America,What is the relation between The alcoholic beverage and the sovereign state in North America,From where does the alcoholic beverage originate?,Food
424,(24489) 2000 YC117 was invented on 30/12/2000.,What was the name of the first YC117?,When was the YC117 invented?,When was the YC117 invented?,CelestialBody,An asteroid is invented on a time.,What asteroid is invented on a time?,What is the relation between an asteroid and a time?,What time is an asteroid invented on?,Celestial
425,(24489) 2000 YC117 was invented on 30/12/2000.,What was the name of the first YC117?,When was the YC117 invented?,When was the YC117 invented?,CelestialBody,An asteroid was invented on a date,What was invented on a date?,What is the relation between an asterid and a date?,When was an asteroid invented?,Celestial
426,Ingrid van Houten-Groeneveld is the inventor of the (30655) 2289 T-1.,What is the name of the device invented by Ingrid van Houten-Groeneveld?,What is the profession of Ingrid van Houten-Groeneveld?,Who invented the T-1?,CelestialBody,An astronomer is the inventor of an asteroid.,What astronomer is the inventor of an asteroid?,What is the relation between an astronomer and an asteroid?,What asteroid was invented by an astronomer?,Celestial
427,Ingrid van Houten-Groeneveld is the inventor of the (30655) 2289 T-1.,What is the name of the device invented by Ingrid van Houten-Groeneveld?,What is the profession of Ingrid van Houten-Groeneveld?,Who invented the T-1?,CelestialBody,An asteroid was invented by an astronomer,What was invented by an astronomer?,What is the relation between an asteroid and an astronomer?,Who invented an asteorid?,Celestial
428,3411 Debetencourt has an orbital eccentricity of 0.1180504.,What has an orbital eccentricity of 0.1180504?,What is the orbital eccentricity of Debetencourt?,What is Debetencourt's orbital eccentricity?,CelestialBody,An asteroid has an orbital eccentricity of x.,What asteroid has an orbital eccentricity of x?,What is the relation between an asteroid and x?,What orbital eccentricity does an asteroid have?,Celestial
429,3411 Debetencourt has an orbital eccentricity of 0.1180504.,What has an orbital eccentricity of 0.1180504?,What is the orbital eccentricity of Debetencourt?,What is Debetencourt's orbital eccentricity?,CelestialBody,An asteroid has an orbital eccentricity of a float..,What has an orbital eccentricity of a float?,What is the relation between an asteroid and an orbital eccentricity of a float?,What is the orbital eccentricity of an asteroid?,Celestial
430,The Jupiter trojan is a minor planet in the 2008 RK27.,What is the name of the planet in the RK27?,What is the Jupiter trojan in the 2008 RK27?,What is the name of the planet in the 2008 RK27?,CelestialBody,An asteroid is a minor planet in an asteroid group.,What asteroid is a minor planet in an asteroid group?,What is the relation between an asteroid and an asteroid group?,What asteroid group is an asteroid  a minor planet in?,Celestial
431,The Jupiter trojan is a minor planet in the 2008 RK27.,What is the name of the planet in the RK27?,What is the Jupiter trojan in the 2008 RK27?,What is the name of the planet in the 2008 RK27?,CelestialBody,An asteroid is a minor planet in a trojan,What is a minor planet in a trojan?,What is the relation between an asteroid and a trojan?,What is an asteroid a minor planet in?,Celestial
432,BIG 533 is a galaxy morphological type of Sa.,What is the name of the galaxy morphological type of Sa?,What type of galaxy is BIG 533?,BIG 533 is a galaxy morphological type of what?,CelestialBody,A galaxy is a galaxy morphological type of x.,What galaxy is a galaxy morphological type of x?,What is the relation between a galaxy and x?,What galaxy morphological type does a galaxy have?,Celestial
433,BIG 533 is a galaxy morphological type of Sa.,What is the name of the galaxy morphological type of Sa?,What type of galaxy is BIG 533?,BIG 533 is a galaxy morphological type of what?,CelestialBody,A galaxy is a galaxy morphological type of galaxy morphological type.,What has a galaxy morphological type of a galaxy morphological type?,What is the relation between a galaxy and a galaxy morphological type?,What galaxy morphological type does a galaxy have?,Celestial
434,The provisional designation of XE2 (911065) is 1951 EF1.,What is the provisional designation of XE2?,What is the designation of XE2?,What is the provisional designation of XE2?,CelestialBody,The provisional designation of a planet is x.,What planet has a provisional designation x?,What is the relation between a planet and x?,What provisional designation does a planet have?,Celestial
435,The provisional designation of XE2 (911065) is 1951 EF1.,What is the provisional designation of XE2?,What is the designation of XE2?,What is the provisional designation of XE2?,CelestialBody,A main-belt minor planet has provisional designation of a provisional designation.,What does have a provisional designation of a provisional designation?,What is the relation between a main-belt minor planet and a provisional designation of a provisional designation?,What is the provisional designation of a main-belt minor planet?,Celestial
436,(146252) 2000 YS48 is followed by (146251) 2000 YO42.,What is the second most popular song?,What is the second name of the 2000 YS48?,What is the second most popular song?,CelestialBody,An asteroid is followed by an asteroid.,What asteroid is followed by an asteroid?,What is the relation between two asteroids?,What asteroid is an asteroid followed by?,Celestial
437,(146252) 2000 YS48 is followed by (146251) 2000 YO42.,What is the second most popular song?,What is the second name of the 2000 YS48?,What is the second most popular song?,CelestialBody,An asteroid is followed by an asteroid,What is followed by an asteroid?,What is the relation between an asteroid and an asteorid?,what follows an asteorid?,Celestial
438,21637 Ninahuffman was followed by 21638 Nicjachowski.,What was the first name of the second person to be followed by Nicjachowski?,Who followed 21638 Nicjachowski?,What was the name of the second person to follow Ninahuffman?,CelestialBody,An asteroid is followed by an asteroid.,What asteroid is followed by an asteroid?,What is the relation between two asteroids?,What asteroid is an asteroid followed by?,Celestial
439,21637 Ninahuffman was followed by 21638 Nicjachowski.,What was the first name of the second person to be followed by Nicjachowski?,Who followed 21638 Nicjachowski?,What was the name of the second person to follow Ninahuffman?,CelestialBody,An asteroid was followed by an asteroid,What is followed by an asteroid?,What id the relation between an asteroid and an asteorid?,What follows an asteorid?,Celestial
440,SDSS J110217.79+382020.7 has a metallicity of -1.07.,What has a metallicity of -1.07?,,,CelestialBody,A star has a metallicity of x.,What start has a metallicity of x?,What is the relation between a star and x?,What metallicity does a star have?,Celestial
441,SDSS J110217.79+382020.7 has a metallicity of -1.07.,What has a metallicity of -1.07?,,,CelestialBody,A star has a metallicity of a negative float.,What does have the metallicity of a negative float?,What is the relation between a star and a negative float^,What metallicity does a star have?,Celestial
442,PGC 50152 is part of [CHM2007] LDC 1036.,What is part of LDC 1036?,What is PGC 50152?,What is PGC 50152 part of?,CelestialBody,A galaxy is part of a galaxy.,What galaxy is part of a galaxy?,What is the relation between two galaxies?,What galaxy has part a galaxy?,Celestial
443,PGC 50152 is part of [CHM2007] LDC 1036.,What is part of LDC 1036?,What is PGC 50152?,What is PGC 50152 part of?,CelestialBody,A galaxy is part of a group a galaxies.,What is part of a group of galaxies?,What is the relation between a galaxy and a group of galaxies?,What is a galaxy part of?,Celestial
444,WOH G 629 is a type of variable star that has a long period variable.,What is a type of variable star that has a long period variable?,What is WOH G 629?,What type of variable star does WOH G 629 have?,CelestialBody,-,-,-,-,Celestial
445,WOH G 629 is a type of variable star that has a long period variable.,What is a type of variable star that has a long period variable?,What is WOH G 629?,What type of variable star does WOH G 629 have?,CelestialBody,A star is a type of variable star that has a variable,What does have a variable?,What is the relation between a star and a variable?,What does a star have?,Celestial
446,TYC 5833-884-1 has a surface gravity of 81 centimetres per square second.,What has a surface gravity of 81 centimeters per square second?,What is the gravity of the TYC 5833-884-1?,What is the surface gravity of TYC 5833-884-1?,CelestialBody,A star has a surface gravity of x.,What star has a surface gravity of x?,What is the relation between a star and x?,What surface gravity does a star have?,Celestial
447,TYC 5833-884-1 has a surface gravity of 81 centimetres per square second.,What has a surface gravity of 81 centimeters per square second?,What is the gravity of the TYC 5833-884-1?,What is the surface gravity of TYC 5833-884-1?,CelestialBody,A star has a surface gravity of a CGS unit of acceleration,What has a surface gravity of a CGS unit of acceleration?,What is the relation between a star and a CGS unit of acceleration?,What surface gravity does a star have?,Celestial
448,RAVE J181958.1-560053 has an effective temperature of 3800 kelvin.,What has an effective temperature of 3800 kelvin?,What is the RAVE J181958.1-560053's?,What is the effective temperature of the RAVE J181958.1-560053?,CelestialBody,A star has an effective temperature of x.,What star has an effective temperature of x?,What is the relation between a star and x?,What effective temperature does a star have?,Celestial
449,RAVE J181958.1-560053 has an effective temperature of 3800 kelvin.,What has an effective temperature of 3800 kelvin?,What is the RAVE J181958.1-560053's?,What is the effective temperature of the RAVE J181958.1-560053?,CelestialBody,A star has an effective temperature of a SI unit of thermodynamic temperature,What does have an effective temperature of a SI unit of thermodynamic temperature?,What is the relation between a star and a SI unit of thermodynamic temperature?,What effective temperature does a star have?,Celestial
450,HD 117851 has a spectral class of A1IV/V.,What HD has a spectral class of A1IV/V?,,What is HD 117851's spectral class?,CelestialBody,-,-,-,-,Celestial
451,HD 117851 has a spectral class of A1IV/V.,What HD has a spectral class of A1IV/V?,,What is HD 117851's spectral class?,CelestialBody,"Can't answer, miss description","Can't answer, miss description","Can't answer, miss description","Can't answer, miss description",Celestial
452,WiggleZ R22J214238716+04121417 has a redshift of 0.50921.,What has a redshift of 0.50921?,,,CelestialBody,A galaxy has a redshift of x.,What galaxy has a redshift of x?,What is the relation between a galaxy and x?,What redshift does a galaxy have?,Celestial
453,WiggleZ R22J214238716+04121417 has a redshift of 0.50921.,What has a redshift of 0.50921?,,,CelestialBody,A galaxy has a redshift of a float.,What has a redshift of a float?,What is the relation between a galaxy and a float?,What redshift does a galaxy have?,Celestial
454,TYC 3511-893-1 is 588.3045 parsecs from Earth.,What is 588.3045 parsecs from Earth?,How far is TYC 3511-893-1 from Earth?,How far away from Earth is TYC 3511-893-1?,CelestialBody,A star is x parsecs from Earth. ,What star is x parsecs from Earth?,What is the relation between a start and x parsecs?,How many parsecs is a star from Earth?,Celestial
455,TYC 3511-893-1 is 588.3045 parsecs from Earth.,What is 588.3045 parsecs from Earth?,How far is TYC 3511-893-1 from Earth?,How far away from Earth is TYC 3511-893-1?,CelestialBody,A star has distance from Earth of parsec.,What has a distance from Earth of parsec?,What is the relation between a star and parsec?,What measures the distance from the Earth of a star?,Celestial
456,TYC 4169-349-1 has a parallax of 0.7262 milliarcsecond.,What has a parallax of 0.7262 milliarcsecond?,What is the TYC 4169-349-1's arcsecond?,What is the parallax of the TYC 4169-349-1?,CelestialBody,A star has a parallax of x.,What star has a parallax of x?,What is the relation between a star and x?,What parallax does a star have?,Celestial
457,TYC 4169-349-1 has a parallax of 0.7262 milliarcsecond.,What has a parallax of 0.7262 milliarcsecond?,What is the TYC 4169-349-1's arcsecond?,What is the parallax of the TYC 4169-349-1?,CelestialBody,A star has a parallax of milliarcsecond.,What has a parallax of milliarcsecond?,What is the relation between a star and milliarcsecond?,What is the parallax of a star?,Celestial
